Hora,Temperatura,Umidade,Pressão,QualidadeAr
14/03/2025 17:44:32,22.2,59,1000.41,268
14/03/2025 17:44:58,22.2,58,1000.42,268
14/03/2025 17:45:03,22.2,58,1000.41,268
14/03/2025 17:45:17,22.2,58,1000.42,268
14/03/2025 17:45:32,22.2,58,1000.4,268
14/03/2025 17:45:47,22.2,58,1000.48,268
14/03/2025 17:46:58,22.2,57,1000.48,267
14/03/2025 17:47:22,22.2,57,1000.45,268
14/03/2025 17:47:32,22.2,56,1000.44,268
14/03/2025 17:47:47,22.2,56,1000.43,268
14/03/2025 17:48:16,22.2,56,1000.51,268
14/03/2025 17:48:18,22.2,56,1000.46,268
14/03/2025 17:48:46,22.2,56,1000.45,268
14/03/2025 17:49:58,21.8,55,1000.48,268
14/03/2025 17:50:46,21.8,55,1000.52,268
14/03/2025 17:51:58,21.8,54,1000.61,268
14/03/2025 17:52:46,21.8,54,1000.59,268
14/03/2025 17:53:58,21.8,55,1000.66,268
14/03/2025 17:54:46,22.2,58,1000.64,268
14/03/2025 17:55:58,23,59,1000.7,268
14/03/2025 17:56:47,23.4,61,1000.66,268
14/03/2025 17:57:58,23.4,62,1000.76,267
14/03/2025 17:58:46,23.8,64,1000.78,267
14/03/2025 17:59:58,23.8,64,1000.81,267
14/03/2025 18:00:28,23.7,63,1000.78,267
14/03/2025 18:00:32,23.4,62,1000.76,267
14/03/2025 18:00:47,23.4,62,1000.84,267
14/03/2025 18:01:13,23.4,65,1000.82,267
14/03/2025 18:01:17,23.8,79,1000.77,267
14/03/2025 18:01:32,23.8,78,1000.88,267
14/03/2025 18:01:47,23.8,73,1000.88,267
14/03/2025 18:02:02,23.4,70,1000.87,268
14/03/2025 18:02:29,23.4,68,1000.81,268
14/03/2025 18:02:46,23,64,1000.9,268
14/03/2025 18:03:58,23,63,1000.8,268
14/03/2025 18:04:46,22.6,60,1000.87,268
14/03/2025 18:05:58,22.2,59,1000.79,267
14/03/2025 18:06:46,21.8,58,1000.81,268
14/03/2025 18:07:58,21.8,58,1000.85,268
14/03/2025 18:08:47,21.8,57,1000.8,268
14/03/2025 18:09:58,21.8,56,1000.77,268
14/03/2025 18:10:46,21.8,56,1000.75,268
14/03/2025 18:11:58,21.8,55,1000.81,268
14/03/2025 18:12:46,21.8,56,1000.84,268
14/03/2025 18:13:58,22.2,58,1000.78,268
14/03/2025 18:14:46,22.9,62,1000.79,268
14/03/2025 18:15:58,23,64,1000.86,268
14/03/2025 18:16:46,23.4,65,1000.84,267
14/03/2025 18:17:58,23.8,67,1000.86,267
14/03/2025 18:18:46,23.8,69,1000.88,267
14/03/2025 18:19:58,24,69,1000.93,267
14/03/2025 18:20:46,24.1,70,1000.91,267
14/03/2025 18:21:58,24.1,69,1000.85,267
14/03/2025 18:22:46,23.8,68,1001,267
14/03/2025 18:23:58,23.4,67,1000.92,268
14/03/2025 18:24:46,23,65,1000.86,268
14/03/2025 18:25:58,22.6,64,1000.85,268
